plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4o_MINI', 'GPT_5_NANO', 'GPT_4_1_NANO')",0.62807272106521,0.6666666666666666,0.7
"('GPT_4o_MINI', 'GPT_5_NANO', 'GPT_4o')",0.7043103448275863,1.0,0.7
"('GPT_4o_MINI', 'GPT_5_NANO', 'GPT_5')",0.6434108527131783,1.0,0.6
"('GPT_4o_MINI', 'GPT_5_NANO', 'GPT_5_MINI')",0.5880282935455349,1.0,0.7
"('GPT_4o_MINI', 'o4_MINI', 'GPT_4_1')",0.5880282935455349,1.0,0.7
"('GPT_4o_MINI', 'o4_MINI', 'GPT_4o')",0.6032127838519765,1.0,0.7
"('GPT_5', 'GPT_4_1', 'GPT_4_1')",0.5989584733023334,1.0,0.7
"('GPT_5', 'GPT_4_1', 'GPT_4_1_MINI')",0.5648108733049628,0.8,0.7
"('GPT_5', 'GPT_4_1', 'GPT_4_1_NANO')",0.5810994162496106,1.0,0.7
"('GPT_5', 'GPT_4_1', 'GPT_4o_MINI')",0.5569371210725523,1.0,0.6
"('GPT_5', 'GPT_4_1', 'GPT_5')",0.578033573598921,1.0,0.7
"('GPT_5', 'GPT_4_1', 'GPT_5_NANO')",0.5286969381384711,1.0,0.6
"('GPT_5', 'GPT_4_1', 'o4_MINI')",0.5735886265394037,1.0,0.7
"('GPT_5', 'GPT_4_1_MINI', 'GPT_4_1')",0.5691130482641704,0.8,0.7
"('GPT_5', 'GPT_4_1_MINI', 'GPT_4_1_MINI')",0.5762173360147145,1.0,0.7
"('GPT_5', 'GPT_4_1_MINI', 'GPT_4_1_NANO')",0.512307884081469,0.75,0.6
"('GPT_5', 'GPT_4_1_MINI', 'GPT_4o')",0.5406487431726336,0.75,0.6
"('GPT_5', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.5731344330371912,0.8,0.7
"('GPT_5', 'GPT_4_1_MINI', 'o4_MINI')",0.5344154282531023,0.75,0.6
"('GPT_5', 'GPT_4_1_NANO', 'GPT_4o_MINI')",0.58510926463468,0.8,0.9
"('GPT_5', 'GPT_4_1_NANO', 'GPT_5')",0.5676483280781606,0.8,0.8
"('GPT_5', 'GPT_4o', 'GPT_4_1')",0.6372191204871052,0.8,0.7
"('GPT_5', 'GPT_4o', 'GPT_4_1_MINI')",0.5386171795651143,0.75,0.6
"('GPT_5', 'GPT_4o', 'GPT_4o')",0.567367919436123,0.4,0.6
"('GPT_5', 'GPT_4o', 'GPT_4o_MINI')",0.5370940669786328,0.75,0.6
"('GPT_5', 'GPT_4o', 'GPT_5')",0.5384735521085535,0.75,0.6
"('GPT_5', 'GPT_4o', 'GPT_5_MINI')",0.5385967219438637,0.75,0.6
"('GPT_5', 'GPT_4o_MINI', 'GPT_4_1_MINI')",0.5329052936859711,0.5,0.6
"('GPT_5', 'GPT_4o_MINI', 'GPT_4_1_NANO')",0.5324523739171626,0.75,0.7
"('GPT_5', 'GPT_4o_MINI', 'GPT_4o')",0.6111457636033898,0.8,0.7
"('GPT_5', 'GPT_4o_MINI', 'GPT_4o_MINI')",0.5394705675152764,0.5,0.6
"('GPT_5', 'GPT_4o_MINI', 'GPT_5_NANO')",0.5358930948877344,0.75,0.6
"('GPT_5', 'GPT_4o_MINI', 'o4_MINI')",0.5778216696161438,0.8,0.7
"('GPT_5', 'GPT_5', 'GPT_4_1')",0.5718122495068596,0.8,0.8
"('GPT_5', 'GPT_5', 'GPT_4o')",0.5403790290140306,1.0,0.6
"('GPT_5', 'GPT_5', 'GPT_4o_MINI')",0.5509726763693357,0.8,0.7
"('GPT_5', 'GPT_5', 'GPT_5')",0.5675829065162263,1.0,0.7
