plan_label,extractor_mean_quality,summarizer_mean_quality,classifier_mean_quality
"('GPT_4_1_NANO', 'GPT_4o', 'GPT_4_1_MINI')",0.4619915987529145,0.75,0.7
"('GPT_4o_MINI', 'o4_MINI', 'GPT_4_1')",0.5880282935455349,1.0,0.7
"('GPT_4_1_MINI', 'GPT_4o_MINI', 'GPT_5_MINI')",0.3547756961854568,0.4285714285714285,0.6
"('GPT_4_1_MINI', 'GPT_4_1', 'GPT_5_MINI')",0.3675715427423747,0.7142857142857143,0.6
"('GPT_4_1', 'GPT_5_MINI', 'GPT_4_1_NANO')",0.260416342415383,1.0,0.6
"('GPT_5_MINI', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.5123132432013774,0.6,0.8
"('GPT_4o_MINI', 'GPT_4o_MINI', 'GPT_4_1_NANO')",0.6593103448275862,0.5,0.6
"('GPT_5_NANO', 'GPT_5_NANO', 'o4_MINI')",0.7065184319613056,1.0,0.8
"('GPT_4_1', 'GPT_5', 'GPT_4o_MINI')",0.2601507423345087,1.0,0.6
"('GPT_5_MINI', 'GPT_5_NANO', 'GPT_5')",0.489648051418414,0.75,0.6
"('GPT_5', 'GPT_4_1_NANO', 'GPT_4o_MINI')",0.58510926463468,0.8,0.9
"('GPT_5_MINI', 'GPT_4_1', 'GPT_4o')",0.407923376022233,0.6,0.7
"('GPT_4o', 'GPT_5', 'GPT_5')",0.697560975609756,1.0,0.6
"('GPT_5_NANO', 'GPT_5', 'GPT_4_1_NANO')",0.6615539893208928,0.6666666666666666,0.6
"('GPT_4o', 'GPT_4_1', 'GPT_4o_MINI')",0.697560975609756,1.0,0.6
"('GPT_4_1_MINI', 'GPT_4o_MINI', 'GPT_5_NANO')",0.3591380325178392,0.1428571428571428,0.6
"('GPT_4o', 'GPT_4_1', 'GPT_4_1')",0.721090387374462,1.0,0.7
"('GPT_4_1_NANO', 'GPT_5_NANO', 'o4_MINI')",0.4556625421822272,0.6666666666666666,0.6
"('GPT_4_1', 'GPT_4_1_MINI', 'GPT_4_1')",0.2473596321169268,1.0,0.6
"('GPT_4_1_MINI', 'GPT_5', 'GPT_4_1')",0.3553080527178134,1.0,0.6
"('GPT_4_1', 'GPT_4_1_NANO', 'GPT_5_NANO')",0.2590975866531194,1.0,0.7
"('GPT_4o', 'GPT_4o_MINI', 'GPT_5')",0.5975609756097561,1.0,0.6
"('GPT_4_1', 'GPT_5_NANO', 'o4_MINI')",0.253991463553038,0.75,0.6
"('o4_MINI', 'GPT_5_NANO', 'GPT_5_NANO')",0.5831502334523482,0.5,0.6
"('GPT_5_NANO', 'GPT_4_1_MINI', 'GPT_5_MINI')",0.7570077749073463,1.0,0.7
"('GPT_4o_MINI', 'o4_MINI', 'GPT_4o')",0.6032127838519765,1.0,0.7
"('GPT_5_MINI', 'GPT_4o_MINI', 'GPT_5_MINI')",0.4970140779878572,0.8,0.6
"('GPT_5_NANO', 'GPT_5_NANO', 'GPT_4o_MINI')",0.7388267165936202,0.6666666666666666,0.8
